REC#0524
FIELDS:
SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG500,SIG675,SIG870,STD380,STD440,STD500,STD675,STD870,R380_440,R440_500,R500_675,R675_870,AOT380,AOT440,AOT500,AOT675,AOT870,WATER
08409,11/29/2016,13:29:20, 48.148,  11.573,  540,  969,77.14,4.410,0.971,  8.1,96,  -0.00,   0.00,   0.01,  -0.00,   0.03,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN  ,NaN  ,NaN  ,NaN  ,NaN  ,Na  
08409,11/29/2016,13:33:12, 48.148,  11.573,  540,  968,77.51,4.535,0.971,  7.9,96,   0.00,   0.00,   0.00,   0.00,   0.00,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN  ,NaN  ,NaN  ,NaN  ,NaN  ,Na  
08409,11/29/2016,13:35:10, 48.148,  11.573,  540,  967,77.70,4.601,0.971,  7.5,96, 232.78, 534.08, 797.67,1082.48,1257.07, 0.003, 0.001, 0.004, 0.006, 0.004,0.4358,0.6696,0.7369,0.8611,0.084,0.063,0.066,0.046,0.027,Na  
08409,11/29/2016,13:35:21, 48.148,  11.573,  540,  967,77.72,4.608,0.971,  7.5,96, 230.80, 532.20, 795.52,1083.31,1258.76, 0.005, 0.002, 0.002, 0.004, 0.004,0.4337,0.6690,0.7343,0.8606,0.085,0.064,0.066,0.046,0.026,Na  
08409,11/29/2016,13:35:33, 48.148,  11.573,  540,  967,77.74,4.615,0.971,  7.5,96, 231.80, 532.69, 798.83,1093.21,1270.97, 0.001, 0.001, 0.005, 0.001, 0.003,0.4352,0.6668,0.7307,0.8601,0.084,0.063,0.065,0.044,0.024,Na  
08409,11/29/2016,13:35:45, 48.148,  11.573,  540,  967,77.76,4.622,0.971,  7.5,96, 227.21, 526.19, 794.43,1082.90,1258.73, 0.010, 0.008, 0.002, 0.003, 0.006,0.4318,0.6624,0.7336,0.8603,0.087,0.065,0.066,0.046,0.026,Na  
08409,11/29/2016,13:35:57, 48.148,  11.573,  540,  967,77.78,4.629,0.971,  7.5,96, 229.47, 530.68, 798.09,1090.42,1268.49, 0.004, 0.001, 0.004, 0.005, 0.007,0.4324,0.6650,0.7319,0.8596,0.084,0.063,0.065,0.044,0.024,Na  
08409,11/29/2016,13:36:10, 48.148,  11.573,  540,  967,77.80,4.636,0.971,  7.5,96, 224.05, 519.67, 769.53,1044.72,1219.37, 0.002, 0.004, 0.001, 0.001, 0.005,0.4311,0.6753,0.7366,0.8568,0.089,0.067,0.072,0.053,0.033,Na  
08409,11/29/2016,13:36:22, 48.148,  11.573,  540,  967,77.82,4.644,0.971,  7.6,96, 228.09, 528.67, 794.79,1090.05,1265.96, 0.002, 0.007, 0.009, 0.008, 0.006,0.4314,0.6652,0.7291,0.8610,0.084,0.063,0.065,0.044,0.025,Na  
08409,11/29/2016,13:46:08, 48.148,  11.573,  540,  967,78.81,5.029,0.971,  4.7,96,   0.00,   0.00,  -0.01,  -0.00,  -0.01,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN  ,NaN  ,NaN  ,NaN  ,NaN  ,Na  
